Datum;Fallzahl;Neue Faelle;Genesene;Todesfaelle;7-Tage-Inzidenz;rel Veraenderung der 7-Tage-Inzidenz;7-Tage-Hosp-Inzidenz;ITS-Belegung
19.12.2021;309708;243;263830;3964;336,4;-8,0;7,6;22,7
20.12.2021;312649;2941;266689;3969;338,0;-6,3;8,7;22,0
21.12.2021;314943;2294;269245;3976;349,3;-3,9;7,7;20,9
22.12.2021;317431;2488;272013;3986;356,9;-1,0;8,1;20,8
23.12.2021;319431;2000;274331;3988;358,8;2,7;7,3;20,0
24.12.2021;319995;564;276594;3988;344,0;4,7;6,6;19,7
25.12.2021;320046;51;277522;3988;304,1;2,9;6,7;19,5
26.12.2021;320692;646;278109;3991;309,4;1,4;6,7;19,2
27.12.2021;323149;2457;280359;3996;315,3;0,3;8,1;19,4
28.12.2021;325801;2652;282769;4002;299,2;-1,8;8,3;19,7
29.12.2021;327740;1939;284871;4010;295,7;-4,2;8,2;19,1
30.12.2021;330517;2777;287169;4016;301,4;-6,7;8,1;19,1
31.12.2021;331218;701;289166;4016;319,1;-7,6;7,2;19,0
01.01.2022;331291;73;289993;4016;330,4;-7,0;7,2;18,6
02.01.2022;331770;479;290517;4016;319,8;-6,7;7,6;18,9
03.01.2022;334966;3196;293004;4020;327,1;-5,7;9,1;18,5
04.01.2022;339192;4226;295290;4025;362,6;-1,5;9,3;18,7
05.01.2022;344635;5443;297710;4029;418,7;7,3;8,7;18,0
06.01.2022;350597;5962;299529;4032;501,6;22,8;8,9;18,2
07.01.2022;356648;6051;301111;4036;600,0;44,7;9,4;18,3
08.01.2022;358360;1712;301838;4038;733,5;73,0;9,2;18,7
09.01.2022;359417;1057;302449;4038;778,4;95,1;9,3;18,8
10.01.2022;364693;5276;304881;4043;782,2;102,4;10,6;19,1
11.01.2022;373555;8862;307182;4045;871,5;106,7;10,6;19,1
12.01.2022;381352;7797;309255;4058;949,0;107,3;11,1;17,9
13.01.2022;388590;7238;311533;4063;1012,3;104,0;11,2;18,8
14.01.2022;394659;6069;313655;4067;1032,8;95,8;13,1;18,3
15.01.2022;396904;2245;314579;4067;1045,6;84,9;13,5;18,5
16.01.2022;397124;220;315322;4067;1044,7;71,6;13,1;17,8
17.01.2022;404683;7559;318467;4067;1058,9;58,6;12,9;18,4
18.01.2022;415415;10732;321226;4072;1102,1;48,0;12,6;17,6
19.01.2022;426864;11449;323633;4073;1178,2;40,3;13,4;17,8
20.01.2022;437543;10679;325874;4077;1310,7;37,1;14,7;16,8
21.01.2022;451632;14089;327299;4082;1479,3;38,5;16,3;16,0
22.01.2022;453999;2367;328758;4084;1634,0;44,1;16,9;16,8
23.01.2022;454682;683;329602;4085;1667,6;47,1;16,8;17,2
24.01.2022;467893;13211;332355;4088;1664,6;46,0;15,6;17,5
25.01.2022;485309;17416;335148;4094;1821,8;47,8;16,8;18,0
26.01.2022;500039;14730;338042;4097;1959,7;50,9;17,9;18,7
27.01.2022;511775;11736;340632;4098;1998,3;51,9;19,1;16,3
28.01.2022;524537;12762;342518;4107;1993,2;49,8;19,5;16,5
29.01.2022;527964;3427;343670;4107;1959,5;44,8;19,6;16,2
30.01.2022;528248;284;344919;4107;1965,8;38,7;19,9;16,2
31.01.2022;540468;12220;348811;4124;1959,9;31,8;20,2;17,1
01.02.2022;553137;12669;353057;4128;1909,5;24,1;22,1;16,7
02.02.2022;570703;17566;358061;4129;1903,4;17,1;23,3;17,7
03.02.2022;584020;13317;363672;4133;1888,9;11,1;23,5;17,6
04.02.2022;593865;9845;369156;4135;1881,2;6,8;23,0;17,1
05.02.2022;595274;1409;371115;4135;1819,1;3,2;22,8;17,2
06.02.2022;596017;743;372251;4135;1792,2;-0,4;23,3;17,5
07.02.2022;605595;9578;378807;4140;1781,1;-4,2;25,2;17,5
08.02.2022;617897;12302;386119;4147;1735,8;-6,8;25,4;16,6
09.02.2022;629364;11467;393616;4159;1655,6;-8,5;25,5;15,9
10.02.2022;639528;10164;400719;4164;1590,6;-9,9;26,6;15,9
11.02.2022;644934;5406;407701;4167;1485,3;-11,9;26,3;15,5
12.02.2022;646011;1077;410361;4167;1450,6;-13,9;25,9;15,2
13.02.2022;646227;216;412095;4167;1420,4;-15,4;25,9;15,4
14.02.2022;651857;5630;420512;4168;1414,3;-16,4;26,4;15,9
15.02.2022;663388;11531;431066;4173;1369,7;-17,6;26,1;15,8
16.02.2022;671618;8230;443841;4175;1311,0;-18,7;24,8;15,3
17.02.2022;678304;6686;456776;4205;1208,5;-20,2;23,8;15,0
18.02.2022;689728;11424;469196;4212;1159,4;-21,2;23,1;15,3
19.02.2022;691966;2238;472204;4213;1152,7;-22,0;22,8;14,8
20.02.2022;692198;232;473794;4213;1172,0;-21,9;22,3;14,6
21.02.2022;700442;8244;488288;4217;1170,4;-20,7;20,6;14,1
22.02.2022;710278;9836;503574;4222;1158,9;-19,0;21,7;14,4
23.02.2022;717673;7395;517626;4227;1123,3;-17,5;20,9;13,4
24.02.2022;727069;9396;530048;4242;1153,4;-15,4;18,5;12,4
25.02.2022;734152;7083;540287;4243;1178,7;-13,5;17,5;12,9
26.02.2022;735167;1015;543221;4243;1163,2;-11,5;17,6;13,0
27.02.2022;735437;270;544499;4243;1141,3;-9,5;17,3;13,0
28.02.2022;741826;6389;556481;4245;1142,0;-6,8;16,2;12,7
01.03.2022;747610;5784;570837;4253;1086,7;-4,9;14,4;12,5
02.03.2022;754735;7125;583921;4263;1036,0;-4,3;15,8;11,4
03.03.2022;761740;7005;595857;4273;991,7;-5,7;16,7;11,1
04.03.2022;767847;6107;604358;4276;953,3;-8,0;16,1;11,3
05.03.2022;768746;899;607137;4277;925,3;-10,5;16,2;11,6
06.03.2022;769047;301;608060;4277;931,6;-12,0;16,2;11,4
07.03.2022;774622;5575;618837;4279;928,6;-13,1;18,1;11,1
08.03.2022;775247;625;630638;4281;893,3;-14,5;15,0;10,6
09.03.2022;782193;6946;641924;4288;721,8;-18,6;15,0;11,0
10.03.2022;789828;7635;651078;4294;763,3;-20,7;18,1;11,4
11.03.2022;797074;7246;658484;4296;776,6;-21,4;17,7;10,4
12.03.2022;798180;1106;660299;4297;829,5;-20,4;18,1;10,6
13.03.2022;798448;268;661092;4297;826,8;-18,9;18,2;10,2
14.03.2022;807820;9372;670122;4305;828,4;-16,1;18,4;10,4
15.03.2022;816654;8834;679297;4307;946,0;-10,8;19,7;11,4
16.03.2022;825616;8962;686532;4310;1175,4;-0,2;18,6;10,9
17.03.2022;833569;7953;693001;4315;1197,0;10,7;18,4;10,0
18.03.2022;839317;5748;699082;4319;1203,1;20,2;20,2;10,4
19.03.2022;839767;450;701147;4319;1156,2;25,9;20,4;10,1
20.03.2022;839965;198;701817;4319;1132,7;29,3;20,3;10,1
21.03.2022;846933;6968;709570;4324;1129,7;31,1;20,7;9,9
22.03.2022;858458;11525;717076;4332;1110,1;30,4;20,3;10,1
23.03.2022;867476;9018;724098;4337;1133,4;25,3;20,9;9,6
24.03.2022;875582;8106;730730;4346;1135,3;20,7;19,2;8,8
25.03.2022;882085;6503;736385;4354;1155,2;16,2;19,6;8,9
26.03.2022;883028;943;737529;4355;1177,0;12,6;19,2;9,1
27.03.2022;883280;252;738113;4355;1198,3;8,7;19,1;9,3
28.03.2022;890609;7329;744534;4363;1201,0;4,0;19,0;9,9
29.03.2022;897641;7032;751021;4369;1150,1;0,0;18,9;9,6
30.03.2022;905226;7585;757907;4381;1088,5;-1,0;18,8;9,6
31.03.2022;911783;6557;764130;4384;1035,5;-2,2;18,4;8,8
01.04.2022;917298;5515;769503;4386;970,3;-3,9;16,9;8,3
02.04.2022;917964;666;771021;4386;937,6;-6,5;17,0;8,5
03.04.2022;918215;251;771559;4386;919,6;-9,2;16,9;8,3
04.04.2022;923431;5216;777326;4392;914,7;-11,6;15,4;8,5
05.04.2022;930704;7273;778371;4396;878,6;-14,5;16,6;8,6
06.04.2022;936458;5754;786870;4402;869,8;-16,7;15,5;8,3
07.04.2022;941432;4974;793897;4406;797,5;-19,5;14,6;8,7
08.04.2022;945322;3890;801254;4407;778,1;-21,6;15,0;8,7
09.04.2022;945323;1;802766;4407;732,8;-23,2;16,4;8,3
10.04.2022;945422;99;803530;4407;728,4;-23,4;16,4;8,0
11.04.2022;949967;4545;812928;4412;729,5;-22,2;15,7;8,4
12.04.2022;955111;5144;821792;4421;698,6;-21,0;15,8;8,1
13.04.2022;959700;4589;830579;4422;647,0;-20,7;14,8;7,6
14.04.2022;963618;3918;837302;4427;635,1;-20,5;14,7;7,9
15.04.2022;963815;197;842797;4427;601,5;-21,3;14,1;7,6
16.04.2022;964134;319;843585;4427;510,8;-23,6;13,8;6,6
17.04.2022;964281;147;844242;4427;515,4;-25,0;14,0;7,0
18.04.2022;964387;106;852822;4427;515,5;-25,4;11,8;7,2
19.04.2022;968976;4589;862005;4443;404,4;-27,6;12,2;7,3
20.04.2022;973527;4551;870851;4452;393,7;-28,9;12,0;7,2
21.04.2022;976801;3274;878454;4455;384,0;-30,9;12,1;7,5
22.04.2022;979634;2833;884585;4458;378,0;-32,4;11,0;7,0
23.04.2022;979920;286;885897;4458;447,6;-32,3;9,6;7,0
24.04.2022;980012;92;886369;4458;446,3;-31,1;9,6;6,8
25.04.2022;985014;5002;893896;4461;444,8;-27,8;10,3;7,2
26.04.2022;989050;4036;901268;4463;552,3;-19,7;9,1;6,7
27.04.2022;993782;4732;908567;4478;534,7;-11,5;9,2;6,7
28.04.2022;997288;3506;913934;4480;541,3;-1,2;8,7;6,2
29.04.2022;1000086;2798;918973;4485;556,9;9,7;9,3;5,1
30.04.2022;1000210;124;919798;4487;550,5;15,5;9,3;5,0
01.05.2022;1000246;36;920207;4487;543,2;20,5;9,2;4,8
02.05.2022;1003184;2938;925760;5553;542,3;24,7;10,2;5,7
03.05.2022;1007271;4087;932507;4495;483,3;19,5;9,9;5,8
04.05.2022;1009945;2674;937120;4503;486,3;14,2;10,0;5,8
05.05.2022;1012132;2187;941717;4509;438,2;6,6;10,3;5,5
06.05.2022;1013755;1623;945295;4512;389,0;-2,6;10,1;4,8
07.05.2022;1013866;111;945867;4512;362,1;-9,3;9,9;4,9
08.05.2022;1013959;93;946262;4512;357,8;-15,7;10,0;4,5
09.05.2022;1016756;2797;950710;4525;357,8;-21,9;8,2;4,7
10.05.2022;1020558;3802;955679;4528;392,2;-22,8;8,3;4,7
11.05.2022;1023457;2899;959863;4536;362,4;-24,7;8,2;5,2
12.05.2022;1025927;2470;963449;4544;367,3;-25,5;8,5;5,5
13.05.2022;1028271;2344;964103;4556;377,6;-24,2;8,5;4,3
14.05.2022;1028504;233;964927;4556;393,9;-21,1;8,6;4,5
15.05.2022;1028520;16;965353;4556;398,1;-16,4;8,5;4,3
16.05.2022;1031026;2506;966488;4556;397,7;-9,8;8,0;4,8
17.05.2022;1033444;2418;971140;4562;368,7;-6,3;7,2;4,5
18.05.2022;1035421;1977;974975;4574;341,1;-3,0;6,5;4,5
19.05.2022;1037058;1637;978200;4574;319,1;-2,5;5,8;4,4
20.05.2022;1038759;1701;980991;4578;301,9;-4,9;6,0;3,3
21.05.2022;1038797;38;981779;4578;285,1;-8,9;6,0;3,2
22.05.2022;1038915;118;982222;4578;283,5;-12,6;6,0;3,1
23.05.2022;1041099;2184;986654;4604;282,4;-16,1;6,0;3,8
24.05.2022;1043281;2182;990579;4606;272,9;-17,6;5,4;3,7
25.05.2022;1045093;1812;994543;4608;270,8;-20,3;5,2;3,5
26.05.2022;1045118;25;998382;4608;264,9;-22,5;4,3;3,6
27.05.2022;1046873;1755;1001066;4610;216,4;-25,7;4,4;3,8
28.05.2022;1046916;43;1001527;4610;221,1;-26,8;4,4;3,4
29.05.2022;1046916;0;1001853;4610;222,6;-26,2;4,5;3,6
30.05.2022;1048816;1900;1004248;4612;222,9;-23,9;4,5;3,6
31.05.2022;1050558;1742;1008208;4613;207,0;-22,4;4,9;3,9
01.06.2022;1052470;1912;1010669;4616;196,9;-21,9;4,9;3,5
02.06.2022;1053530;1060;1012788;4617;198,6;-21,4;4,7;3,2
03.06.2022;1054613;1083;1014361;4618;230,5;-19,0;4,6;2,9
04.06.2022;;;;;210,7;-18,2;4,6;
05.06.2022;;;;;206,8;-16,8;4,5;
06.06.2022;;;;;206,7;-14,3;3,9;2,5
07.06.2022;1057400;;1021132;4621;165,4;-14,8;4,3;2,7
08.06.2022;1059310;1910;1023633;4624;197,1;-11,5;4,5;2,9
09.06.2022;1061547;2237;1025810;4628;205,7;-6,9;5,0;2,7
10.06.2022;1063090;1543;1027836;4630;220,4;-4,9;4,6;2,7
11.06.2022;;;;;241,0;-0,3;4,5;
12.06.2022;;;;;249,2;5,3;4,4;
13.06.2022;1066136;;1030816;4632;250,3;10,8;4,7;2,7
14.06.2022;1068470;2334;1032756;4632;322,0;22,4;4,3;2,5
15.06.2022;1070470;2000;1034359;4633;309,6;28,8;4,4;2,3
16.06.2022;1072503;2033;1036044;4635;315,1;33,3;4,4;3,2
17.06.2022;1075068;2565;1037571;4636;315,5;38,9;4,5;3,3
18.06.2022;;;;;351,9;44,2;4,5;
19.06.2022;;;;;355,9;46,0;4,5;
20.06.2022;1079398;;1040407;4635;355,8;44,9;4,9;2,9
21.06.2022;1082673;3275;1042589;4635;376,3;40,0;4,9;2,9
22.06.2022;1086459;3786;1044225;4638;397,9;37,9;5,1;3,1
23.06.2022;1089344;2885;1044598;4639;440,2;38,0;5,6;2,2
24.06.2022;1092466;3122;1046939;4639;472,3;39,2;6,1;3,7
25.06.2022;;;;;464,1;37,9;6,1;
26.06.2022;;;;;462,8;34,8;6,1;
27.06.2022;1096647;;1049436;4640;464,2;30,1;7,1;3,4
28.06.2022;1099840;3193;1051111;4641;470,0;29,2;7,4;4,2
29.06.2022;1103271;3431;1052634;4648;483,4;27,1;7,6;4,4
30.06.2022;1108053;4782;1053964;4647;474,4;23,5;7,9;4,1
01.07.2022;1110870;2817;1055080;4649;515,0;21,4;8,2;4,1
02.07.2022;;;;;511,4;19,8;8,2;
03.07.2022;;;;;510,7;17,3;8,2;
04.07.2022;1116081;;1056210;4650;511,9;14,0;7,7;4,1
05.07.2022;1120300;4219;1058622;4656;534,3;12,0;9,8;4,1
06.07.2022;1124799;4499;1060227;4658;550,3;10,8;9,6;4,3
07.07.2022;1128300;3501;1061724;4661;572,9;11,8;9,3;4,4
08.07.2022;1131329;3029;1063345;4662;539,5;11,9;9,1;4,7
09.07.2022;;;;;555,9;11,8;9,1;
10.07.2022;;;;;552,0;10,9;9,1;
11.07.2022;1136189;;1066455;4665;550,8;9,6;8,6;5,8
12.07.2022;1139902;3713;1068527;4671;545,8;7,8;9,2;4,9
13.07.2022;1144033;4131;1070361;4675;531,3;5,8;9,5;4,9
14.07.2022;1147930;3897;1071952;4676;526,4;2,9;10,0;5,1
15.07.2022;1151255;3325;1074784;4677;540,1;2,1;11,9;5,7
16.07.2022;;;;;532,0;0,8;11,9;
17.07.2022;;;;;537,0;-0,5;11,9;
18.07.2022;1155785;;1079053;4679;538,0;-1,9;14,5;5,9
19.07.2022;1159132;3347;1082104;4680;518,1;-3,2;13,1;5,9
20.07.2022;1162646;3514;1085663;4681;510,2;-4,0;14,0;6,5
21.07.2022;1165496;2850;1088601;4686;490,7;-4,4;13,8;6,3
22.07.2022;1167945;2449;1091438;4688;464,9;-6,6;14,0;5,7
23.07.2022;;;;;454,6;-8,1;14,0;
24.07.2022;;;;;452,7;-9,3;14,0;
25.07.2022;1171811;;1096112;4691;450,1;-10,1;14,5;6,6
26.07.2022;1175431;3620;1099958;4699;450,4;-10,7;14,7;7,5
27.07.2022;1178488;3057;1103263;4704;447,0;-11,5;18,6;7,2
28.07.2022;1181185;2697;1107672;4708;432,5;-12,6;18,1;7,6
29.07.2022;1183163;1978;1110399;4710;426,7;-12,8;17,1;6,6
30.07.2022;;;;;411,5;-13,3;17,1;
31.07.2022;;;;;407,6;-13,0;17,1;
01.08.2022;1186336;;1116092;4715;407,7;-11,9;16,7;6,4
02.08.2022;1188715;2379;1120502;4717;386,7;-11,6;16,7;5,9
03.08.2022;1191623;2908;1124769;4720;363,1;-11,7;16,3;5,4
04.08.2022;1193757;2134;1128008;4722;352,0;-12,4;18,0;5,6
05.08.2022;1195556;1799;1131405;4727;335,8;-14,1;17,9;6,0
06.08.2022;;;;;329,8;-15,8;17,9;
07.08.2022;;;;;328,5;-17,1;17,9;
08.08.2022;1198082;;1136689;4727;328,0;-17,7;18,5;6,2
09.08.2022;1200364;2282;1140302;4729;313,0;-18,2;17,9;6,1
10.08.2022;1202665;2301;1144215;4729;310,9;-18,0;14,7;6,6
11.08.2022;1204755;2090;1147877;4737;309,5;-17,6;14,8;6,2
12.08.2022;1206570;1815;1150990;4739;308,8;-16,6;16,7;6,8
13.08.2022;;;;;304,7;-15,7;16,7;
14.08.2022;;;;;302,9;-14,2;16,7;
15.08.2022;1209445;;1156000;4745;302,7;-11,5;16,1;5,6
16.08.2022;1211257;1812;1159520;4731;303,8;-9,0;17,1;4,9
17.08.2022;1212822;1565;1162851;4735;290,5;-8,0;16,8;5,1
18.08.2022;1213927;1105;1165710;4739;269,0;-8,4;16,3;5,1
19.08.2022;1214864;937;1168346;4740;247,7;-10,3;15,6;5,6
20.08.2022;;;;;226,7;-13,1;15,6;
21.08.2022;;;;;225,1;-15,3;15,6;
22.08.2022;1216067;;1173160;4742;223,6;-16,8;15,1;5,0
23.08.2022;1217496;1429;1176478;4745;194,5;-20,1;15,1;4,1
24.08.2022;1221399;3903;1179351;4752;188,9;-23,0;14,7;4,1
25.08.2022;1223469;2070;1181993;4753;248,2;-22,0;14,4;3,3
26.08.2022;1225701;2232;1184137;4755;269,5;-18,9;11,8;3,4
27.08.2022;;;;;291,7;-13,3;11,8;
28.08.2022;;;;;291,0;-6,6;11,8;
29.08.2022;1227256;;1187933;4756;291,6;1,2;11,4;3,9
30.08.2022;1229202;1946;1190446;4765;294,7;10,1;10,0;4,2
31.08.2022;1230685;1483;1192649;4765;303,5;18,5;9,7;4,0
01.09.2022;1231791;1106;1194588;4767;241,6;17,7;9,0;4,4
02.09.2022;1233377;1586;1196495;4767;224,9;13,9;9,2;3,7
03.09.2022;;;;;210,7;7,9;9,2;
04.09.2022;;;;;212,6;2,8;9,2;
05.09.2022;1235223;;1199554;4767;212,7;-2,0;8,9;3,3
06.09.2022;1236730;1507;1201667;4770;218,5;-8,4;9,2;3,5
07.09.2022;1238329;1599;1203655;4773;204,3;-16,4;8,6;3,9
08.09.2022;1239622;1293;1205328;4775;206,1;-20,2;8,6;3,4
09.09.2022;1240774;1152;1206855;4776;205,5;-22,3;8,4;3,4
10.09.2022;;;;;202,5;-22,3;8,4;
11.09.2022;;;;;202,8;-21,2;8,4;
12.09.2022;1242920;;1209553;4778;202,8;-18,7;8,4;3,0
13.09.2022;1244634;1714;1211107;4779;212,9;-13,4;7,8;3,5
14.09.2022;1246390;1756;1212545;4783;220,0;-4,7;8,0;3,1
15.09.2022;1247679;1289;1213666;4786;219,1;-0,9;7,6;3,3
16.09.2022;1248868;1189;1214704;4795;222,5;1,7;7,7;3,4
17.09.2022;;;;;220,4;2,6;7,7;
18.09.2022;;;;;215,5;3,1;7,7;
19.09.2022;1250964;;1216613;4796;215,6;3,6;7,7;3,8
20.09.2022;1252448;1484;1218260;4799;216,8;4,7;7,2;3,7
21.09.2022;1254052;1604;1221560;4799;211,3;3,8;7,5;3,9
22.09.2022;1255578;1526;1223352;4800;217,8;3,6;7,8;3,6
23.09.2022;1257366;1788;1225030;4807;221,7;3,5;9,7;4,2
24.09.2022;;;;;232,7;3,9;9,7;
25.09.2022;;;;;233,5;4,0;9,7;
26.09.2022;1259623;;1227166;4808;232,8;3,6;9,7;4,6
27.09.2022;1261838;2215;1229093;4824;245,6;5,1;10,4;4,5
28.09.2022;1264022;2184;1230509;4827;269,0;9,2;10,2;3,8
29.09.2022;1265676;1654;1231829;4830;284,0;13,9;10,6;3,7
30.09.2022;1268230;2554;1233068;4834;286,2;18,1;10,9;5,6
01.10.2022;;;;;311,3;23,6;10,9;
02.10.2022;;;;;311,7;26,6;10,9;
03.10.2022;;;;;312,3;27,8;9,3;
04.10.2022;1271829;;1236881;4838;244,3;20,8;10,2;4,9
05.10.2022;1275536;3707;1238329;4839;285,6;17,9;10,3;4,9
06.10.2022;1278701;3165;1239632;4843;316,6;17,5;11,4;4,6
07.10.2022;1282046;3345;1240889;4845;356,8;19,8;12,0;4,7
08.10.2022;;;;;380,8;23,2;12,0;
09.10.2022;;;;;378,6;24,4;12,0;
10.10.2022;1285939;;1243652;4849;378,2;23,5;13,9;5,4
11.10.2022;1290253;4314;1245393;4854;497,5;32,4;15,0;5,7
12.10.2022;1293738;3485;1246797;4854;500,4;39,5;16,1;4,9
13.10.2022;1296879;3141;1248134;4859;487,1;42,6;17,0;4,3
14.10.2022;1299385;2506;1249179;4863;482,5;42,3;17,0;4,6
15.10.2022;;;;;464,7;40,2;17,0;
16.10.2022;;;;;468,7;37,1;17,0;
17.10.2022;1302689;;1251543;4868;468,6;33,2;21,1;5,1
18.10.2022;1306570;3881;1253156;4876;460,7;24,2;21,9;5,0
19.10.2022;1310629;4059;1254757;4877;456,2;17,1;21,9;5,5
20.10.2022;1313628;2999;1256259;4882;464,1;11,5;21,8;6,1
21.10.2022;;;;;443,5;;;
